Battery_power_mAh,Bluetooh,Speed_of_microprocessor,Dual_sim,Front_camera,4G,Internal_memeory_gb,Mobile_depth,Mobile_weight,Cores_of_processor,Primary_camera,px_height,Pixel_width,Ram_mb,Screen_height,Screen_weight,talk_time,3G,touch_screen,wifi,price_range
842 mAh,No,2.2,No,1 pixels,No,7 gb,0.6 cm,188 g,2,2 pixels,20 ppcm,756 ppcm,2549 mb,9 cm,7 cm,19,No,No,Yes,Medium cost
1021 mAh,Yes,0.5,Yes,0 pixels,Yes,53 gb,0.7 cm,136 g,3,6 pixels,905 ppcm,1988 ppcm,2631 mb,17 cm,3 cm,7,Yes,Yes,No,High cost
563 mAh,Yes,0.5,Yes,2 pixels,Yes,41 gb,0.9 cm,145 g,5,6 pixels,1263 ppcm,1716 ppcm,2603 mb,11 cm,2 cm,9,Yes,Yes,No,High cost
615 mAh,Yes,2.5,No,0 pixels,No,10 gb,0.8 cm,131 g,6,9 pixels,1216 ppcm,1786 ppcm,2769 mb,16 cm,8 cm,11,Yes,No,No,High cost
1821 mAh,Yes,1.2,No,13 pixels,Yes,44 gb,0.6 cm,141 g,2,14 pixels,1208 ppcm,1212 ppcm,1411 mb,8 cm,2 cm,15,Yes,Yes,No,Medium cost
1859 mAh,No,0.5,Yes,3 pixels,No,22 gb,0.7 cm,164 g,1,7 pixels,1004 ppcm,1654 ppcm,1067 mb,17 cm,1 cm,10,Yes,No,No,Medium cost
1821 mAh,No,1.7,No,4 pixels,Yes,10 gb,0.8 cm,139 g,8,10 pixels,381 ppcm,1018 ppcm,3220 mb,13 cm,8 cm,18,Yes,No,Yes,Very High cost
1954 mAh,No,0.5,Yes,0 pixels,No,24 gb,0.8 cm,187 g,4,0 pixels,512 ppcm,1149 ppcm,700 mb,16 cm,3 cm,5,Yes,Yes,Yes,Low cost
1445 mAh,Yes,0.5,No,0 pixels,No,53 gb,0.7 cm,174 g,7,14 pixels,386 ppcm,836 ppcm,1099 mb,17 cm,1 cm,20,Yes,No,No,Low cost
509 mAh,Yes,0.6,Yes,2 pixels,Yes,9 gb,0.1 cm,93 g,5,15 pixels,1137 ppcm,1224 ppcm,513 mb,19 cm,10 cm,12,Yes,No,No,Low cost
769 mAh,Yes,2.9,Yes,0 pixels,No,9 gb,0.1 cm,182 g,5,1 pixels,248 ppcm,874 ppcm,3946 mb,5 cm,2 cm,7,No,No,No,Very High cost
1520 mAh,Yes,2.2,No,5 pixels,Yes,33 gb,0.5 cm,177 g,8,18 pixels,151 ppcm,1005 ppcm,3826 mb,14 cm,9 cm,13,Yes,Yes,Yes,Very High cost
1815 mAh,No,2.8,No,2 pixels,No,33 gb,0.6 cm,159 g,4,17 pixels,607 ppcm,748 ppcm,1482 mb,18 cm,0 cm,2,Yes,No,No,Medium cost
803 mAh,Yes,2.1,No,7 pixels,No,17 gb,1.0 cm,198 g,4,11 pixels,344 ppcm,1440 ppcm,2680 mb,7 cm,1 cm,4,Yes,No,Yes,High cost
1866 mAh,No,0.5,No,13 pixels,Yes,52 gb,0.7 cm,185 g,1,17 pixels,356 ppcm,563 ppcm,373 mb,14 cm,9 cm,3,Yes,No,Yes,Low cost
775 mAh,No,1.0,No,3 pixels,No,46 gb,0.7 cm,159 g,2,16 pixels,862 ppcm,1864 ppcm,568 mb,17 cm,15 cm,11,Yes,Yes,Yes,Low cost
838 mAh,No,0.5,No,1 pixels,Yes,13 gb,0.1 cm,196 g,8,4 pixels,984 ppcm,1850 ppcm,3554 mb,10 cm,9 cm,19,Yes,No,Yes,Very High cost
595 mAh,No,0.9,Yes,7 pixels,Yes,23 gb,0.1 cm,121 g,3,17 pixels,441 ppcm,810 ppcm,3752 mb,10 cm,2 cm,18,Yes,Yes,No,Very High cost
1131 mAh,Yes,0.5,Yes,11 pixels,No,49 gb,0.6 cm,101 g,5,18 pixels,658 ppcm,878 ppcm,1835 mb,19 cm,13 cm,16,Yes,Yes,No,Medium cost
682 mAh,Yes,0.5,No,4 pixels,No,19 gb,1.0 cm,121 g,4,11 pixels,902 ppcm,1064 ppcm,2337 mb,11 cm,1 cm,18,No,Yes,Yes,Medium cost
772 mAh,No,1.1,Yes,12 pixels,No,39 gb,0.8 cm,81 g,7,14 pixels,1314 ppcm,1854 ppcm,2819 mb,17 cm,15 cm,3,Yes,Yes,No,Very High cost
1709 mAh,Yes,2.1,No,1 pixels,No,13 gb,1.0 cm,156 g,2,2 pixels,974 ppcm,1385 ppcm,3283 mb,17 cm,1 cm,15,Yes,No,No,Very High cost
1949 mAh,No,2.6,Yes,4 pixels,No,47 gb,0.3 cm,199 g,4,7 pixels,407 ppcm,822 ppcm,1433 mb,11 cm,5 cm,20,No,No,Yes,Medium cost
1602 mAh,Yes,2.8,Yes,4 pixels,Yes,38 gb,0.7 cm,114 g,3,20 pixels,466 ppcm,788 ppcm,1037 mb,8 cm,7 cm,20,Yes,No,No,Low cost
